City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
214,Nhulunbuy,AU,74.01,clear sky,-12.2333,136.7667,East Arnhem Real Estate
218,Porto Novo,BJ,78.62,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
219,Loding,NO,53.65,broken clouds,67.3,14.75,Arctic Kramer minicamping
220,Pandamatenga,BW,60.48,clear sky,-18.5278,25.627,Wildtrack Safaris Eco Lodge
221,Abbeville,FR,62.56,clear sky,50.1,1.8333,Hôtel Mercure Abbeville Centre - Porte de la Baie de Somme
222,Noyabrsk,RU,55.85,broken clouds,63.1994,75.4507,Hotel Uyutnaya
223,Sistranda,NO,54.9,overcast clouds,63.7256,8.834,Hotell Frøya
224,Kyrylivka,UA,73.74,overcast clouds,46.3759,35.3675,"Rok-Hotelʹ ""Kleopatra"""
225,Okha,RU,57.38,clear sky,53.5739,142.9478,Империя
231,Guebwiller,FR,73.44,clear sky,47.9167,7.2,Le Saint-Barnabé | Hôtel et Spa Haut-Rhin
234,Las Guacamayas,MX,87.03,scattered clouds,18.0167,-102.2167,DIDPROQUIM
235,Mayna,RU,66.38,scattered clouds,54.1135,47.6231,Gostinnitsa
236,Mount Isa,AU,64.17,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
237,Butembo,CD,56.01,broken clouds,0.15,29.2833,Hotel Butembo
238,Shimanovsk,RU,60.84,few clouds,52.0,127.7,Гостиница Домашняя
239,Chapais,CA,71.38,scattered clouds,49.7834,-74.8492,Hôtel Opémiska
241,Boralday,KZ,58.86,broken clouds,43.3578,76.8594,"Zhetysu, Too Zhetysu"
242,Karagaylinskiy,RU,54.09,scattered clouds,54.172,86.5521,
243,Hamilton,US,78.93,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
244,Touros,BR,79.7,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
245,Popondetta,PG,73.04,broken clouds,-8.7537,148.2534,Timos Transit House
246,Betsiamites,CA,75.29,few clouds,48.9413,-68.646,
247,Carutapera,BR,76.23,broken clouds,-1.195,-46.02,Lidera
248,Visby,SE,64.85,overcast clouds,57.6409,18.296,Best Western Solhem Hotel Visby
249,Abha,SA,69.62,overcast clouds,18.2164,42.5053,Abha Hotel
250,Aldan,RU,60.87,few clouds,58.6031,125.3894,Aldan Guest House
252,Ilirska Bistrica,SI,76.12,clear sky,45.5697,14.2408,Rooms Antonija
253,Uetze,DE,71.1,broken clouds,52.4651,10.2047,Zimmervermietung Erdmann-Uetze
254,Nouadhibou,MR,73.38,few clouds,20.931,-17.0347,El Medina
255,Buchanan,LR,75.85,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
257,Bure,ET,56.39,overcast clouds,10.7,37.0667,Holiday
258,East London,ZA,59.29,clear sky,-33.0153,27.9116,Tu Casa
259,Lev Tolstoy,RU,65.64,scattered clouds,53.2134,39.446,Gostinitsa
260,Lincoln,US,88.09,scattered clouds,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
262,Lagos,NG,79.12,overcast clouds,6.5833,3.75,
264,Sinnamary,GF,75.97,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
266,Laela,TZ,60.69,broken clouds,-8.5667,32.05,
267,Kijang,KR,73.13,overcast clouds,35.2442,129.2139,Samyang Beach Villa
268,Parambu,BR,82.02,broken clouds,-6.2111,-40.6944,Hotel pousada santo onofre
