City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
156,Boyolangu,ID,-8.1181,111.8935,73.18,94,73,4.43,broken clouds,0.0,0
157,Durusu,TR,41.3053,28.6767,76.84,67,0,8.99,clear sky,0.0,0
158,Tuktoyaktuk,CA,69.4541,-133.0374,53.6,66,90,13.8,overcast clouds,0.0,0
159,Gornozavodsk,RU,58.3758,58.3211,54.39,86,13,2.37,few clouds,0.0,0
160,Souillac,MU,-20.5167,57.5167,68.38,68,40,12.66,light rain,0.11,0
161,Burnie,AU,-41.0667,145.9167,43.88,83,94,23.02,moderate rain,1.59,0
162,Mossendjo,CG,-2.9506,12.7261,74.73,71,78,5.01,broken clouds,0.0,0
163,Arraial Do Cabo,BR,-22.9661,-42.0278,69.76,83,75,12.66,broken clouds,0.0,0
164,Khatanga,RU,71.9667,102.5,55.83,57,100,14.47,overcast clouds,0.0,0
165,Lomianki,PL,52.3341,20.886,73.31,72,0,2.3,clear sky,0.0,0
166,Banda Aceh,ID,5.5577,95.3222,78.4,78,100,8.46,light rain,1.0,0
167,Dudinka,RU,69.4058,86.1778,55.04,95,73,14.09,broken clouds,0.0,0
168,Tual,ID,-5.6667,132.75,79.99,83,74,16.44,broken clouds,0.0,0
169,Yellowknife,CA,62.456,-114.3525,63.12,63,75,11.5,broken clouds,0.0,0
170,Lagoa,PT,39.05,-27.9833,71.24,79,99,8.21,overcast clouds,0.0,0
171,Labuhan,ID,-6.8844,112.2051,75.87,86,37,7.05,scattered clouds,0.0,0
172,Esperance,AU,-33.8667,121.9,48.04,88,0,7.94,clear sky,0.0,0
173,Strai,NO,58.2,7.9,55.63,62,0,4.61,clear sky,0.0,0
174,Constitucion,CL,-35.3333,-72.4167,51.78,85,100,14.99,moderate rain,2.05,0
175,Hornepayne,CA,49.2138,-84.7705,83.07,33,45,13.06,scattered clouds,0.0,0
176,Lazarev,RU,52.225,141.5131,60.26,87,10,20.87,clear sky,0.0,0
177,Jibuti,DJ,11.5,42.5,89.02,41,45,0.6,light rain,0.5,0
178,Bayji,IQ,34.9311,43.487,92.75,22,0,15.99,clear sky,0.0,0
179,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,76,90,9.01,overcast clouds,0.0,0
180,Qaanaaq,GL,77.484,-69.3632,38.34,98,100,5.28,light rain,0.4,0
181,Acapulco,MX,16.8634,-99.8901,85.59,75,49,6.17,scattered clouds,0.0,0
182,Basco,PH,20.4487,121.9702,83.19,79,37,10.42,scattered clouds,0.0,0
183,Wanning,CN,18.8003,110.3967,80.04,90,49,7.76,scattered clouds,0.0,0
184,Saint Anthony,US,45.0205,-93.218,88.18,35,1,3.0,clear sky,0.0,0
185,Geraldton,AU,-28.7667,114.6,57.61,41,0,17.27,clear sky,0.0,0
186,Zheleznodorozhnyy,RU,55.7503,38.0042,72.14,62,80,9.84,broken clouds,0.0,0
187,Moerai,PF,-22.4333,-151.3333,72.34,74,82,10.2,broken clouds,0.0,0
188,Thinadhoo,MV,0.5333,72.9333,82.4,74,100,16.26,overcast clouds,0.0,0
189,Avera,US,33.194,-82.5271,90.72,59,100,3.76,overcast clouds,0.0,0
190,Price,US,39.5994,-110.8107,94.26,14,1,9.22,clear sky,0.0,0
191,Pingliang,CN,35.5392,106.6861,62.46,87,82,4.38,broken clouds,0.0,0
192,Sebinkarahisar,TR,40.2883,38.4236,58.19,74,88,2.37,overcast clouds,0.0,0
193,Flinders,AU,-34.5833,150.8552,58.17,45,0,8.01,clear sky,0.0,0
194,Tahta,EG,26.7693,31.5021,93.52,19,0,9.35,clear sky,0.0,0
195,Longyearbyen,SJ,78.2186,15.6401,39.04,75,75,8.05,broken clouds,0.0,0
196,Chirongui,YT,-12.9319,45.1483,73.33,70,0,10.58,clear sky,0.0,0
197,Shitanjing,CN,39.2342,106.3439,67.69,64,67,11.79,broken clouds,0.0,0
198,Samarai,PG,-10.6167,150.6667,78.35,84,54,14.81,broken clouds,0.0,0
199,Mackenzie,CA,55.2999,-123.1698,71.82,46,75,18.41,broken clouds,0.0,0
200,Arcata,US,40.8665,-124.0828,73.2,76,40,5.01,scattered clouds,0.0,0
201,Itarema,BR,-2.9248,-39.9167,78.96,77,15,11.54,few clouds,0.0,0
202,Codrington,AU,-38.2667,141.9667,52.66,62,54,20.13,broken clouds,0.0,0
203,Port Elizabeth,ZA,-33.918,25.5701,57.49,88,40,9.22,scattered clouds,0.0,0
204,Najran,SA,17.4924,44.1277,88.45,18,94,3.29,overcast clouds,0.0,0
205,Charters Towers,AU,-20.1,146.2667,61.09,81,75,7.67,broken clouds,0.0,0
206,Kavieng,PG,-2.5744,150.7967,81.95,76,95,10.42,moderate rain,1.23,0
207,Omutninsk,RU,58.67,52.1932,57.83,73,92,5.3,overcast clouds,0.0,0
208,Namatanai,PG,-3.6667,152.4333,79.61,81,79,5.86,light rain,0.5,0
209,Cabedelo,BR,-6.9811,-34.8339,77.67,76,52,17.09,broken clouds,0.0,0
210,Pisco,PE,-13.7,-76.2167,66.02,77,0,10.36,clear sky,0.0,0
211,Tuim,RU,54.3417,89.9261,52.5,91,59,2.37,broken clouds,0.0,0
212,Shintomi,JP,32.0785,131.4723,74.82,95,100,1.59,light rain,0.33,0
213,Ballina,AU,-28.8667,153.5667,54.79,93,31,0.0,scattered clouds,0.0,0
214,Nhulunbuy,AU,-12.2333,136.7667,74.01,88,0,6.91,clear sky,0.0,0
215,Pacific Grove,US,36.6177,-121.9166,94.6,83,1,7.0,clear sky,0.0,0
216,Upernavik,GL,72.7868,-56.1549,42.15,96,100,7.56,light rain,0.89,0
217,Leningradskiy,RU,69.3833,178.4167,34.29,85,96,14.2,overcast clouds,0.0,0
218,Porto Novo,BJ,6.4965,2.6036,78.62,82,99,7.2,overcast clouds,0.0,0
219,Loding,NO,67.3,14.75,53.65,83,75,1.99,broken clouds,0.0,0
220,Pandamatenga,BW,-18.5278,25.627,60.48,53,1,4.81,clear sky,0.0,0
221,Abbeville,FR,50.1,1.8333,62.56,89,3,8.77,clear sky,0.0,0
222,Noyabrsk,RU,63.1994,75.4507,55.85,74,67,13.98,broken clouds,0.0,0
223,Sistranda,NO,63.7256,8.834,54.9,83,100,5.26,overcast clouds,0.0,0
224,Kyrylivka,UA,46.3759,35.3675,73.74,55,90,13.15,overcast clouds,0.0,0
225,Okha,RU,53.5739,142.9478,57.38,82,4,9.51,clear sky,0.0,0
226,Saint George,US,37.1041,-113.5841,106.63,23,1,1.01,clear sky,0.0,0
227,Cabo San Lucas,MX,22.8909,-109.9124,96.51,65,5,9.93,clear sky,0.0,0
228,Kjollefjord,NO,70.9457,27.3465,44.38,79,100,11.23,overcast clouds,0.0,0
229,Yar-Sale,RU,66.8333,70.8333,49.95,78,83,14.92,broken clouds,0.0,0
230,Klaksvik,FO,62.2266,-6.589,47.32,73,19,8.59,few clouds,0.0,0
231,Guebwiller,FR,47.9167,7.2,73.44,89,7,5.46,clear sky,0.0,0
232,Lemon Tree Passage,AU,-32.7327,152.036,50.77,74,0,4.0,clear sky,0.0,0
233,Balad,IQ,34.0164,44.1453,91.85,26,0,13.78,clear sky,0.0,0
234,Las Guacamayas,MX,18.0167,-102.2167,87.03,69,26,7.27,scattered clouds,0.0,0
235,Mayna,RU,54.1135,47.6231,66.38,41,45,4.29,scattered clouds,0.0,0
236,Mount Isa,AU,-20.7333,139.5,64.17,34,0,13.8,clear sky,0.0,0
237,Butembo,CD,0.15,29.2833,56.01,93,57,3.2,broken clouds,0.0,0
238,Shimanovsk,RU,52.0,127.7,60.84,81,12,3.02,few clouds,0.0,0
239,Chapais,CA,49.7834,-74.8492,71.38,31,39,9.66,scattered clouds,0.0,0
240,Tilichiki,RU,60.4667,166.1,53.44,83,97,5.88,overcast clouds,0.0,0
241,Boralday,KZ,43.3578,76.8594,58.86,77,75,4.47,broken clouds,0.0,0
242,Karagaylinskiy,RU,54.172,86.5521,54.09,90,48,1.19,scattered clouds,0.0,0
243,Hamilton,US,39.1834,-84.5333,78.93,70,90,1.99,overcast clouds,0.0,0
244,Touros,BR,-5.1989,-35.4608,79.7,76,40,19.48,scattered clouds,0.0,0
245,Popondetta,PG,-8.7537,148.2534,73.04,93,77,2.04,broken clouds,0.0,0
246,Betsiamites,CA,48.9413,-68.646,75.29,52,18,5.64,few clouds,0.0,0
247,Carutapera,BR,-1.195,-46.02,76.23,90,54,8.72,broken clouds,0.0,0
248,Visby,SE,57.6409,18.296,64.85,77,91,13.8,overcast clouds,0.0,0
249,Abha,SA,18.2164,42.5053,69.62,88,100,0.0,overcast clouds,0.0,0
250,Aldan,RU,58.6031,125.3894,60.87,71,19,7.87,few clouds,0.0,0
251,Maniitsoq,GL,65.4167,-52.9,45.43,97,100,2.98,overcast clouds,0.0,0
252,Ilirska Bistrica,SI,45.5697,14.2408,76.12,58,0,4.36,clear sky,0.0,0
253,Uetze,DE,52.4651,10.2047,71.1,65,75,1.01,broken clouds,0.0,0
254,Nouadhibou,MR,20.931,-17.0347,73.38,88,20,10.36,few clouds,0.0,0
255,Buchanan,LR,5.8808,-10.0467,75.85,75,97,6.51,overcast clouds,0.0,0
